created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 29 13:27:09 +0000 2023;1729854512372863060;"@_natse Itu belum reopen lagi soalnya masih byk pesawat yg maintenance jg abis pandemi. Dulu sebelum pandemi ke surabaya selalu naik itu jg wkwk. Ke yogya aja belum buka lagi.";0;0;0;0;in;18389190;1729849836126470622;CUY_24;https://twitter.com/CUY_24/status/1729854512372863060
Mon Nov 27 08:32:48 +0000 2023;1729055658761462180;"Rail Clinic Kembali Hadir untuk Masyarakat. Setelah vakum akibat pandemi Covid-19, Rail Clinic milik KAI kembali memberikan layanan kesehatan secara gratis kepada masyarakat.  #RailClinicKAI #keretaapikita https://t.co/SoYSUc9fAP";0;0;0;0;in;1431834038315094016;1729055658761462180;bumnsbyjitu;https://twitter.com/bumnsbyjitu/status/1729055658761462180
Mon Nov 27 03:22:07 +0000 2023;1728977473092886640;"Rail Clinic Kembali Hadir untuk Masyarakat  Setelah vakum akibat pandemi Covid-19, Rail Clinic milik KAI kembali memberikan layanan kesehatan secara gratis kepada masyarakat. Fasilitas yang dimiliki Rail Clinic ini terbilang cukup lengkap dan canggih karena mengandalkan generasi https://t.co/RbdB6VLrFO";0;1;0;0;in;1627528697170501632;1728977473092886640;SB8cekatan;https://twitter.com/SB8cekatan/status/1728977473092886640
Sun Nov 26 05:08:05 +0000 2023;1728641752238858289;"Hoaks! Nyamuk Wolbachia Akan Menjadi Pandemi Kedua https://t.co/GFZ2IIW5qb";0;1;0;1;in;848614550;1728641752238858289;e100ss;https://twitter.com/e100ss/status/1728641752238858289
Sun Nov 26 04:58:50 +0000 2023;1728639427482972448;"mall kios masih tutup kosong sepi, harga beras cabe skrg naik .. tapi Jokowi klaim Ekonomi Indonesia Telah Pulih dr Pandemi Covid-19, matavisi nya dah mentok gak spt awal2 jd presiden https://t.co/UbaIYcLDfu KiniSongsong pemimpin sederhana Ganjar Mahfud Manado Solo Poso Surabaya";0;0;0;0;in;750113649365094400;1728639427482972448;kotabahagia;https://twitter.com/kotabahagia/status/1728639427482972448
Sat Nov 25 16:44:05 +0000 2023;1728454522270556620;"Bangkrut Akibat Pandemi, Peternak Lele Asal Malang Curi Motor di Surabaya Buat Bayar Cicilan Bank https://t.co/3X88rgD4kF";0;0;0;0;in;2481414283;1728454522270556620;inmalangraya;https://twitter.com/inmalangraya/status/1728454522270556620
Thu Nov 23 15:47:35 +0000 2023;1727715525499978022;"Young D udah nemenin aku mulai dari aku kerja di tempat pertama di Surabaya, terus jaman aku ngerantau ke malang, sampai hari ini aku dah kerja di surabaya lagi  Mulai dari pandemi yg selalu pake masker dan sekarang yg selalu kita nantikan ootd young D🥰";0;0;0;1;in;535936537;1727715525499978022;mrshanbaobao;https://twitter.com/mrshanbaobao/status/1727715525499978022
Thu Nov 23 03:53:00 +0000 2023;1727535694153752682;"KPK Mulai Obok-obok Sana-sini di Kasus Korupsi APD Saat Pandemi  KPK menggeledah sejumlah kantor di Surabaya dan Jabodetabek. Penggeledahan ini terkait dugaan korupsi proyek pengadaan APD di Kemenkes.  &gt &gt  https://t.co/dae8iA8Z2x  #detikcom";0;0;1;3;in;69183155;1727535694153752682;detikcom;https://twitter.com/detikcom/status/1727535694153752682
Mon Nov 20 11:16:33 +0000 2023;1726560156048302243;"Dengan begitu, ekonomi Kota Surabaya juga terpicu bergerak, sebagai percepatan recovery pasca pandemi. Kendati demikian, saya menyoroti masih minimnya antusiasme masyarakat yang hadir langsung ke stadion.";0;1;0;0;in;1903785632;1726560139619311621;LaNyallaMM1;https://twitter.com/LaNyallaMM1/status/1726560156048302243
Mon Nov 13 16:41:11 +0000 2023;1724105137004912815;"Adalah benar, after pandemi komunitas tech surabaya banyak yang non aktif walau ada yang masih aktif cuma sepi.  Kalo kata bang firdaus pas ketemu kemarin, sekarang komunitas harus punya tujuan berbeda engga sama seperti sebelum pandemi.";0;0;0;2;in;1407881337336262664;1724105137004912815;kindharika;https://twitter.com/kindharika/status/1724105137004912815
