created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Fri Oct 27 04:35:57 +0000 2023,1.71776E+18,"@caknuu 01/01/2020, pas malem lg di Bus Lorena Surabaya-Jakarta. Turun di pool Lorena Lebak Bulus, badan panas, batuk2, pusing, sampe 3 minggu gak sembuh2. Mpe heran lama amat sembuhnya. Pas udah ke sininya, baru nyadar kayaknya itu kena Covid. I got covid19 before it was popular.",0,1,0,0,in,1.27921E+18,1.71775E+18,IdMclaren,https://twitter.com/IdMclaren/status/1717762031938650224
Wed Dec 21 23:06:46 +0000 2022,1.6057E+18,"Pemeriksaan Covid19 Swab Test Antigen &amp  PCR, RS PHC Surabaya... https://t.co/P3nFBZ7Iyx",0,0,1,1,in,1049856373,1.6057E+18,sanderbiy7,https://twitter.com/sanderbiy7/status/1605701340805877760
Mon Aug 01 09:47:53 +0000 2022,1.55404E+18,Satlantas Polrestabes Surabaya Melaksanakan himbauan protokol kesehatan antisipasi meningkatnya covid19 di kota surabaya  #JogoSuroboyo #PolrestabesSurabaya https://t.co/Bk4IIdNgIB,0,0,0,0,in,1.44814E+18,1.55404E+18,satnarkoba_sby,https://twitter.com/satnarkoba_sby/status/1554041217142652928
Mon Aug 01 07:13:29 +0000 2022,1.554E+18,Satlantas Polrestabes Surabaya Melaksanakan himbauan protokol kesehatan antisipasi meningkatnya covid19 di kota surabaya  #JogoSuroboyo  #PolrestabesSurabaya https://t.co/gGTMSY0NB0,0,0,0,0,in,1.49162E+18,1.554E+18,baglogtabessby,https://twitter.com/baglogtabessby/status/1554002361110016001
Mon Aug 01 06:54:22 +0000 2022,1.554E+18,#Repost @jogosuroboyo • • • • • • Satlantas Polrestabes Surabaya Melaksanakan himbauan protokol kesehatan antisipasi meningkatnya covid19 di kota surabaya  #JogoSuroboyo  #PolrestabesSurabaya https://t.co/bHtLP4p7VM,0,0,0,0,in,1.51243E+18,1.554E+18,polsek_wiyung,https://twitter.com/polsek_wiyung/status/1553997551384547328
Mon Aug 01 05:15:03 +0000 2022,1.55397E+18,"Satlantas Polrestabes Surabaya Melaksanakan himbauan protokol kesehatan antisipasi meningkatnya covid19 di kota surabaya  #JogoSuroboyo…""&lt /title&gt  https://t.co/l97EM4Fzee""",0,0,0,0,in,1.53414E+18,1.55397E+18,humasgubeng_sby,https://twitter.com/humasgubeng_sby/status/1553972554930405376
Mon Aug 01 04:42:18 +0000 2022,1.55396E+18,Satlantas Polrestabes Surabaya Melaksanakan himbauan protokol kesehatan antisipasi meningkatnya covid19 di kota surabaya  #polseksukolilosurabaya #JogoSuroboyo  #PolrestabesSurabaya https://t.co/IinBS11bzo https://t.co/wTDqJZwKhN,0,0,0,1,in,1.46184E+18,1.55396E+18,NKRI89159805,https://twitter.com/NKRI89159805/status/1553964315471781889
Mon Aug 01 04:24:51 +0000 2022,1.55396E+18,"@jogosuroboyo  JogoSuroboyo di Instagram Satlantas Polrestabes Surabaya Melaksanakan himbauan protokol kesehatan antisipasi meningkatnya covid19 di kota surabaya  #JogoSuroboyo https://t.co/32aXKmB8Dg""",0,0,0,0,in,1.41701E+18,1.55396E+18,MetroPakal,https://twitter.com/MetroPakal/status/1553959921359601665
Mon Aug 01 04:23:49 +0000 2022,1.55396E+18,"@jogosuroboyo  JogoSuroboyo di Instagram Satlantas Polrestabes Surabaya Melaksanakan himbauan protokol kesehatan antisipasi meningkatnya covid19 di kota surabaya  #JogoSuroboyo https://t.co/Vazy0cJg9g""",0,0,0,0,in,1.41701E+18,1.55396E+18,MetroPakal,https://twitter.com/MetroPakal/status/1553959661027598336
Mon Aug 01 03:42:35 +0000 2022,1.55395E+18,"Reposted from @jogosuroboyo &lt title&gt #JogoSuroboyo di Instagram Satlantas Polrestabes Surabaya Melaksanakan himbauan protokol kesehatan antisipasi meningkatnya covid19 di kota surabaya  #JogoSuroboyo…""&lt /title&gt  https://t.co/xbM2yE96nu""",0,0,0,0,in,1.35253E+18,1.55395E+18,Polsekgenteng1,https://twitter.com/Polsekgenteng1/status/1553949287247392768
Mon Aug 01 03:38:52 +0000 2022,1.55395E+18,Satlantas Polrestabes Surabaya Melaksanakan himbauan protokol kesehatan antisipasi meningkatnya covid19 di kota surabaya  #JogoSuroboyo  #PolrestabesSurabaya https://t.co/jrA1Tgs2x4 https://t.co/sUGh4l9X6k,0,0,0,0,in,1.4485E+18,1.55395E+18,ItaHand46252363,https://twitter.com/ItaHand46252363/status/1553948351522938880
Mon Aug 01 03:34:49 +0000 2022,1.55395E+18,Satlantas Polrestabes Surabaya Melaksanakan himbauan protokol kesehatan antisipasi meningkatnya covid19 di kota surabaya  #JogoSuroboyo  #PolrestabesSurabaya https://t.co/GUPn2LeWRF https://t.co/fEqbQ22t37,0,0,0,0,in,1.53622E+18,1.55395E+18,humas_lakar,https://twitter.com/humas_lakar/status/1553947332722376707
