text_clean,text_preprocessed
pas malem lg di bus lorena surabayajakarta turun di pool lorena lebak bulus badan panas batuk pusing sampe  minggu gak sembuh mpe heran lama amat sembuhnya pas udah ke sininya baru nyadar kayaknya itu kena covid i got covid before it was popular,"['pas', 'malem', 'lg', 'bus', 'lorena', 'surabayajakarta', 'turun', 'pool', 'lorena', 'lebak', 'bulus', 'badan', 'panas', 'batuk', 'pusing', 'sampe', 'minggu', 'gak', 'sembuh', 'mpe', 'heran', 'sembuh', 'pas', 'udah', 'sini', 'nyadar', 'kayak', 'kena', 'covid', 'i', 'got', 'covid', 'before', 'it', 'was', 'popular']"
pemeriksaan covid swab test antigen amp  pcr rs phc surabaya,"['periksa', 'covid', 'swab', 'test', 'antigen', 'amp', 'pcr', 'rs', 'phc', 'surabaya']"
satlantas polrestabes surabaya melaksanakan himbauan protokol kesehatan antisipasi meningkatnya covid di kota surabaya,"['satlantas', 'polrestabes', 'surabaya', 'laksana', 'himbauan', 'protokol', 'sehat', 'antisipasi', 'tingkat', 'covid', 'kota', 'surabaya']"
• • • • • • satlantas polrestabes surabaya melaksanakan himbauan protokol kesehatan antisipasi meningkatnya covid di kota surabaya,"['', '', '', '', '', '', 'satlantas', 'polrestabes', 'surabaya', 'laksana', 'himbauan', 'protokol', 'sehat', 'antisipasi', 'tingkat', 'covid', 'kota', 'surabaya']"
satlantas polrestabes surabaya melaksanakan himbauan protokol kesehatan antisipasi meningkatnya covid di kota surabaya  …lt titlegt,"['satlantas', 'polrestabes', 'surabaya', 'laksana', 'himbauan', 'protokol', 'sehat', 'antisipasi', 'tingkat', 'covid', 'kota', 'surabaya', 'lt', 'titlegt']"
jogosuroboyo di instagram satlantas polrestabes surabaya melaksanakan himbauan protokol kesehatan antisipasi meningkatnya covid di kota surabaya,"['jogosuroboyo', 'instagram', 'satlantas', 'polrestabes', 'surabaya', 'laksana', 'himbauan', 'protokol', 'sehat', 'antisipasi', 'tingkat', 'covid', 'kota', 'surabaya']"
reposted from  lt titlegt  di instagram satlantas polrestabes surabaya melaksanakan himbauan protokol kesehatan antisipasi meningkatnya covid di kota surabaya  …lt titlegt,"['reposted', 'from', 'lt', 'titlegt', 'instagram', 'satlantas', 'polrestabes', 'surabaya', 'laksana', 'himbauan', 'protokol', 'sehat', 'antisipasi', 'tingkat', 'covid', 'kota', 'surabaya', 'lt', 'titlegt']"
with repost  • • • • • • satlantas polrestabes surabaya melaksanakan himbauan protokol kesehatan antisipasi meningkatnya covid di kota surabaya,"['with', 'repost', '', '', '', '', '', '', 'satlantas', 'polrestabes', 'surabaya', 'laksana', 'himbauan', 'protokol', 'sehat', 'antisipasi', 'tingkat', 'covid', 'kota', 'surabaya']"
warga surabaya boleh pindahkan makam jenazah covid simak syaratnya  surabaya  – pemerintah kota surabaya kini memperbolehkan pemindahan makam covid pemindahan…,"['warga', 'surabaya', 'pindah', 'makam', 'jenazah', 'covid', 'simak', 'syarat', 'surabaya', '', 'perintah', 'kota', 'surabaya', 'boleh', 'pindah', 'makam', 'covid', 'pindah']"
waspada peningkatan kasus penularan covid,"['waspada', 'tingkat', 'tular', 'covid']"
pemkot surabaya bakal gencarkan swab hunter di perkantoran  surabaya  – selain mempercepat vaksinasi booster wali kota surabaya eri cahyadi akan…,"['pemkot', 'surabaya', 'gencar', 'swab', 'hunter', 'kantor', 'surabaya', '', 'cepat', 'vaksinasi', 'booster', 'wali', 'kota', 'surabaya', 'eri', 'cahyadi', 'akan']"
masuk mall wajib vaksin booster perkumpulan driver online minta kelonggaran  surabaya  – persyaratan vaksin booster untuk memasuki mall akan dilaksanakan…,"['masuk', 'mall', 'wajib', 'vaksin', 'booster', 'kumpul', 'driver', 'online', 'longgar', 'surabaya', '', 'syarat', 'vaksin', 'booster', 'pasuk', 'mall', 'laksana']"
klb keretaapi luar biasa covid lintas selatan dri bandungsurabaya via yogyakarta klb yg d jalankan sewaktu pendemi covid thn yll  link lengkap bsa d klik brikut,"['klb', 'keretaapi', 'covid', 'lintas', 'selatan', 'dri', 'bandungsurabaya', 'via', 'yogyakarta', 'klb', 'yg', 'd', 'jalan', 'demi', 'covid', 'thn', 'yll', 'link', 'lengkap', 'bsa', 'd', 'klik', 'brikut']"
kasus covid di surabaya meningkat wawali armuji tetap waspada  surabaya  – wakil wali kota surabaya armuji minta masyarakat untuk tetap waspada seiring dengan mulai…,"['covid', 'surabaya', 'tingkat', 'wawali', 'armuji', 'waspada', 'surabaya', '', 'wakil', 'wali', 'kota', 'surabaya', 'armuji', 'masyarakat', 'waspada', 'iring', 'mulai']"
vaksinasi booster untuk mudik sehat dan aman kapolda jatim didampingi kapolrestabes surabayatinjau pelaksanaan vaksinasi serentak di kantor pwnu jatimdengan harapan vaksinasi booster dpt menjaga kt amp  keluarga saat mudik lebaran agar tdk terpapar covid,"['vaksinasi', 'booster', 'mudik', 'sehat', 'aman', 'kapolda', 'jatim', 'damping', 'kapolrestabes', 'surabayatinjau', 'laksana', 'vaksinasi', 'serentak', 'kantor', 'pwnu', 'jatimdengan', 'harap', 'vaksinasi', 'booster', 'dpt', 'jaga', 'kt', 'amp', 'keluarga', 'mudik', 'lebaran', 'tdk', 'papar', 'covid']"
dah jadi mcm liga futsal indo team bintang timur surabaya majoriti kena covid tinggal  pemain tanpa keeper asal kalah  sepatutnya tunda or menang free ✌️,"['dah', 'mcm', 'liga', 'futsal', 'indo', 'team', 'bintang', 'timur', 'surabaya', 'majoriti', 'kena', 'covid', 'tinggal', 'main', 'keeper', 'kalah', 'patut', 'tunda', 'or', 'menang', 'free', '']"
skring covid aman dan nyaman rs phc surabaya,"['skring', 'covid', 'aman', 'nyaman', 'rs', 'phc', 'surabaya']"
skrining covid aman dan nyaman rs phc surabaya,"['skrining', 'covid', 'aman', 'nyaman', 'rs', 'phc', 'surabaya']"
mau ngecek ke depnaker surabaya saat itu kondisi covid sangatlah masih rawan sekalisaya cek lewat situs yang diberikan oknum yang mengurusi saat itu juga tidak bisa entah aku juga binggung sekali pengen nya dapat bantuan dari pemerintah tapi apa daya aku hanya rakyat jelata,"['ngecek', 'depnaker', 'surabaya', 'kondisi', 'covid', 'rawan', 'sekalisaya', 'cek', 'situs', 'oknum', 'urus', 'binggung', 'ken', 'nya', 'bantu', 'perintah', 'daya', 'rakyat', 'jelata']"
untuk naek ka lokal seperti rute malangsurabaya apakah dimintai persyaratan tes covid juga seperti naek ka jarak jauh seperti malangyogyakarta min,"['naek', 'ka', 'lokal', 'rute', 'malangsurabaya', 'syarat', 'tes', 'covid', 'naek', 'ka', 'jarak', 'malangyogyakarta', 'min']"
