created_at,id_str,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,text_clean,text_preprocessed
Mon Dec 04 14:38:54 +0000 2023,1731684506078228874,0,0,0,1,in,1274742535768834048,1731684506078228874,lillkickity,https://twitter.com/lillkickity/status/1731684506078228874,plissss lah masa w ke surabaya pas covid mulu dah,"['plissss', 'w', 'surabaya', 'pas', 'covid', 'mulu', 'dah']"
Sun Dec 03 22:33:34 +0000 2023,1731441575648251904,0,0,0,0,in,1657374011414937601,1731241963033358710,Abiiiii789,https://twitter.com/Abiiiii789/status/1731441575648251904,mutiara yang enak di keluarga btw bakpia tugu lapis pahlawan surabaya bolu susu kembang bandung dkk itu pnya omset hampir l  triliun sebelum covid,"['mutiara', 'enak', 'keluarga', 'btw', 'bakpia', 'tugu', 'lapis', 'pahlawan', 'surabaya', 'bolu', 'susu', 'kembang', 'bandung', 'dkk', 'pnya', 'omset', 'l', 'triliun', 'covid']"
Sun Dec 03 13:21:32 +0000 2023,1731302651290390978,0,0,0,0,in,1413176894837583877,1731302651290390978,zona_raya,https://twitter.com/zona_raya/status/1731302651290390978,profil doni monardo mantan kepala bnpb dan ketua satgas covid yang meninggal dunia,"['profil', 'doni', 'monardo', 'mantan', 'kepala', 'bnpb', 'ketua', 'satgas', 'covid', 'tinggal', 'dunia']"
Sun Dec 03 13:18:30 +0000 2023,1731301887755075865,3,5,13,56,in,848614550,1731301887755075865,e100ss,https://twitter.com/e100ss/status/1731301887755075865,doni monardo mantan ketua satgas covid berpulang pada minggu petang,"['doni', 'monardo', 'mantan', 'ketua', 'satgas', 'covid', 'pulang', 'minggu', 'petang']"
Thu Nov 30 15:55:40 +0000 2023,1730254275513823488,0,0,0,0,in,1482046296295100417,1730231996645773821,Sudrajat110,https://twitter.com/Sudrajat110/status/1730254275513823488,maxim penganti go massage go life dulu saya ikut gomassage sebelum covid,"['maxim', 'anti', 'go', 'massage', 'go', 'life', 'gomassage', 'covid']"
Thu Nov 30 14:10:55 +0000 2023,1730227915432841520,0,0,0,3,in,848614550,1730227915432841520,e100ss,https://twitter.com/e100ss/status/1730227915432841520,bi sebut qris selamatkan indonesia dari krisis saat pandemi covid,"['bi', 'qris', 'selamat', 'indonesia', 'krisis', 'pandemi', 'covid']"
Thu Nov 30 05:29:12 +0000 2023,1730096620380033250,0,0,1,8,in,1642627278789283840,1730088050611650691,JendralKepitin9,https://twitter.com/JendralKepitin9/status/1730096620380033250,buanyak sekali usia  an yg pengangguran setelah covidf surabaya banyak sampai ada yg setres bunuh diri jg pemerintahan harus hadir turun tangan mengatasi hal initerutama d surabaya banyak pengangguran krn d batasi oleh usia,"['buanyak', 'usia', 'an', 'yg', 'anggur', 'covidf', 'surabaya', 'yg', 'tres', 'bunuh', 'jg', 'perintah', 'hadir', 'turun', 'tangan', 'atas', 'initerutama', 'd', 'surabaya', 'anggur', 'krn', 'd', 'batas', 'usia']"
Wed Nov 29 09:18:05 +0000 2023,1729791834287677870,0,0,0,0,in,1087923769279160325,1729686908815528152,Sangwa24,https://twitter.com/Sangwa24/status/1729791834287677870,naufal  tapi hasilnya bagus dan konsisten kan walaupun tergebrak gara covid tapi pertandingan tetap jalan setidaknya region jatim di gor pancasila waktu itu terus sekarang perlahan naik kembali ke peak awalnya bahkan tiket final surabaya tempo hari aja ludes dalam waktu  menit,"['naufal', 'hasil', 'bagus', 'konsisten', 'gebrak', 'gara', 'covid', 'tanding', 'jalan', 'region', 'jatim', 'gor', 'pancasila', 'perlahan', 'peak', 'tiket', 'final', 'surabaya', 'tempo', 'aja', 'ludes', 'menit']"
Wed Nov 29 05:28:05 +0000 2023,1729733953089655022,0,2,0,0,in,1661564597709705216,1729401854306775505,omygbaik,https://twitter.com/omygbaik/status/1729733953089655022,tweet  kota solo adalah kota dgn pertumbuhan tertinggi  selain batam dan surabaya   di provinsi jawa tengah tahun  solo tertinggi no   betul soal umkm karena daerah lain program yg telah berjalan sejak sebelum covid melanda  betul ada kota lain selain solo yg lbh tinggi,"['tweet', 'kota', 'solo', 'kota', 'dgn', 'tumbuh', 'tinggi', 'batam', 'surabaya', 'provinsi', 'jawa', 'solo', 'tinggi', 'no', 'umkm', 'daerah', 'program', 'yg', 'jalan', 'covid', 'landa', 'kota', 'solo', 'yg', 'lbh']"
Mon Nov 27 08:32:48 +0000 2023,1729055658761462180,0,0,0,0,in,1431834038315094016,1729055658761462180,bumnsbyjitu,https://twitter.com/bumnsbyjitu/status/1729055658761462180,rail clinic kembali hadir untuk masyarakat setelah vakum akibat pandemi covid rail clinic milik kai kembali memberikan layanan kesehatan secara gratis kepada masyarakat,"['rail', 'clinic', 'hadir', 'masyarakat', 'vakum', 'akibat', 'pandemi', 'covid', 'rail', 'clinic', 'milik', 'kai', 'layan', 'sehat', 'gratis', 'masyarakat']"
Mon Nov 27 03:22:07 +0000 2023,1728977473092886640,0,1,0,0,in,1627528697170501632,1728977473092886640,SB8cekatan,https://twitter.com/SB8cekatan/status/1728977473092886640,rail clinic kembali hadir untuk masyarakat  setelah vakum akibat pandemi covid rail clinic milik kai kembali memberikan layanan kesehatan secara gratis kepada masyarakat fasilitas yang dimiliki rail clinic ini terbilang cukup lengkap dan canggih karena mengandalkan generasi,"['rail', 'clinic', 'hadir', 'masyarakat', 'vakum', 'akibat', 'pandemi', 'covid', 'rail', 'clinic', 'milik', 'kai', 'layan', 'sehat', 'gratis', 'masyarakat', 'fasilitas', 'milik', 'rail', 'clinic', 'bilang', 'lengkap', 'canggih', 'andal', 'generasi']"
Sun Nov 26 15:51:57 +0000 2023,1728803790147502444,0,0,0,2,in,1091205174226370565,1728707487514435798,taekeb0,https://twitter.com/taekeb0/status/1728803790147502444,tahun lalu dunia bener runtuh kakak lakiku meninggal krn covid tgl  kemarin adikku laki meninggal kecelakaan trailer di surabaya kepala pecah tulang rusuk hancur tangan putus dan meninggalkan anak umur  bulan apalagi yg bisa buat semangat kerja dan hidupku bang,"['dunia', 'bener', 'runtuh', 'kakak', 'laki', 'tinggal', 'krn', 'covid', 'tgl', 'kemarin', 'adik', 'laki', 'tinggal', 'celaka', 'trailer', 'surabaya', 'kepala', 'pecah', 'tulang', 'rusuk', 'hancur', 'tangan', 'putus', 'tinggal', 'anak', 'umur', 'yg', 'semangat', 'kerja', 'hidup', 'bang']"
Sun Nov 26 12:30:45 +0000 2023,1728753154341339647,0,0,0,0,in,84009320,1728753154341339647,uch13,https://twitter.com/uch13/status/1728753154341339647,hmm lupa inget antara ke surabayamakassar th  naik maskapainya dulu tuh  sampe jadi platinum member eh gara covid langsung turun ke blue wkwkwk,"['hmm', 'lupa', 'inget', 'surabayamakassar', 'th', 'maskapai', 'tuh', 'sampe', 'platinum', 'member', 'eh', 'gara', 'covid', 'langsung', 'turun', 'blue', 'wkwkwk']"
